Origin_clean,Asylum_clean,Value,origin_lon,origin_lat,asylum_lon,asylum_lat
Lebanon,Lithuania,5000000,35.87098632001643,33.91182720781994,23.88064027584349,55.284319484766066
Lebanon,Luxembourg,*000*00,35.87098632001643,33.91182720781994,5.965223432343999,49.76570507415103
Lebanon,Malaysia,*000500,35.87098632001643,33.91182720781994,109.6981484486297,3.7255884257737155
Lebanon,Mauritania,*000*00,35.87098632001643,33.91182720781994,-10.326396925234992,20.20926720635376
Lebanon,Mexico,0000*00,35.87098632001643,33.91182720781994,-102.57634952398689,23.935371902244825
Lebanon,Moldova,*000000,35.87098632001643,33.91182720781994,28.41048279080328,47.20367642606752
Lebanon,Morocco,46000000,35.87098632001643,33.91182720781994,-8.420479544549693,29.88539469830206
Lebanon,Netherlands,0000*00460003200,35.87098632001643,33.91182720781994,5.5122171009654,52.298700374441786
Lebanon,New Zealand,*000*00,35.87098632001643,33.91182720781994,172.70192594405574,-41.662578757158684
Lebanon,Nigeria,7000*00,35.87098632001643,33.91182720781994,7.9951277540897845,9.548318418209963
Lebanon,Norway,220004000,35.87098632001643,33.91182720781994,15.46811995520676,69.15685630975351
Lebanon,Peru,0000*00,35.87098632001643,33.91182720781994,-74.3918058168472,-9.191562905134548
Lebanon,Philippines,0000*00,35.87098632001643,33.91182720781994,122.90267236988684,11.763799362297666
Lebanon,Poland,0000*00,35.87098632001643,33.91182720781994,19.31101430844868,52.14826021933187
Lebanon,Republic of Serbia,0000*00,35.87098632001643,33.91182720781994,,
Lebanon,Romania,0000500,35.87098632001643,33.91182720781994,24.943252494635377,45.857101035738005
Lebanon,Russia,0000700,35.87098632001643,33.91182720781994,96.80331818290131,61.96166349492301
Lebanon,South Africa,*000*00,35.87098632001643,33.91182720781994,25.048013879861678,-28.947033259979115
Lebanon,South Korea,*000000,35.87098632001643,33.91182720781994,127.8213171283307,36.42759860415487
Lebanon,Spain,650001000,35.87098632001643,33.91182720781994,-3.617020602387373,40.348656106226734
Lebanon,Sweden,60100063800,35.87098632001643,33.91182720781994,16.59626584684802,62.811484968080336
Lebanon,Switzerland,340004400,35.87098632001643,33.91182720781994,8.118300613385486,46.79173768366762
Lebanon,Syria,750002700,35.87098632001643,33.91182720781994,38.54423941961137,35.012614281129
Lebanon,Thailand,*000000,35.87098632001643,33.91182720781994,101.00613354626108,15.01697499141648
Lebanon,Togo,12000000,35.87098632001643,33.91182720781994,0.9964039436703586,8.439541954669616
Lebanon,Turkey,300001300,35.87098632001643,33.91182720781994,35.116900150938406,39.06837194061471
Lebanon,Ukraine,25000900,35.87098632001643,33.91182720781994,31.229122070266495,49.14882260840351
Lebanon,United Kingdom,000012900,35.87098632001643,33.91182720781994,-2.8531353951805536,53.914773480537036
Lebanon,United States of America,57500040400,35.87098632001643,33.91182720781994,-112.59943591150451,45.70562800215179
Lebanon,Uruguay,*000000,35.87098632001643,33.91182720781994,-56.003278666548475,-32.780904365230825
Lebanon,Venezuela,00001200,35.87098632001643,33.91182720781994,-66.16382727830239,7.162132267639005
Lebanon,Yemen,6000000,35.87098632001643,33.91182720781994,47.535044758543485,15.913231950143004
Lebanon,Zambia,0000600,35.87098632001643,33.91182720781994,27.727591918760577,-13.395067553524187
Lebanon,Zimbabwe,0000*00,35.87098632001643,33.91182720781994,29.788548371892524,-18.906987947858802
Lesotho,Brazil,*000000,28.170105295170494,-29.625290493692013,-53.05434003576711,-10.806773643498916
Lesotho,Canada,0000*00,28.170105295170494,-29.625290493692013,-98.14238137209698,61.46907614534888
Lesotho,Ireland,5000*00,28.170105295170494,-29.625290493692013,-8.010236544877014,53.180591209950066
Lesotho,Italy,*000*00,28.170105295170494,-29.625290493692013,12.140788372235871,42.75118305296426
